size;data_transfer;feature_transfer;param_transfer;abs_energy;abs_max;abs_sum_of_changes;avg_dev;count_above_mean;count_below_mean;first_location_of_max;first_location_of_min;interquartile_range;kurtosis;last_location_of_max;last_location_of_min;max;mean;mean_abs_change;mean_abs_dev;mean_change;mean_geometric_abs;median;median_abs_dev;median_abs_diff;median_diff;min;negative_turnings;non_zero_count;positive_turnings;root_mean_square;skewness;std_dev;sum;var;zero_cross;mean_n_abs_max;change_quantile;range_count;count_above;count_below;quantile;autocorrelation
10;12051;92;2580;53;50;176;62;179;176;181;179;318;89;210;180;79;48;59;58;59;168;127;245;142;140;49;177;55;178;173;88;97;48;57;57;243;566;313;55;60;140;219
20;28817;91;2581;55;52;186;65;182;179;189;181;350;96;190;187;54;50;68;61;69;168;142;252;174;172;50;216;56;217;175;96;69;49;60;67;263;584;315;56;61;183;232
30;45149;91;2582;56;54;195;68;185;182;195;182;375;105;196;194;56;81;81;64;82;168;152;284;213;199;82;226;58;228;176;105;72;50;62;80;310;600;316;58;62;170;245
40;61898;138;2579;57;57;205;70;188;184;197;183;409;139;203;229;58;52;90;66;91;195;172;323;239;235;53;210;60;213;205;109;74;51;65;89;288;588;347;60;64;185;258
50;78414;91;2582;59;59;242;73;191;187;237;185;447;120;209;207;59;53;98;69;100;167;191;389;274;266;54;222;63;252;180;122;80;53;67;99;342;637;320;62;66;204;271
60;95087;91;2581;60;61;252;75;194;190;239;186;472;124;216;214;60;54;107;71;109;168;203;426;307;300;86;260;65;262;180;130;109;53;70;108;330;650;322;63;67;217;285
70;111936;91;2579;61;62;261;78;197;192;214;188;509;136;223;221;62;55;117;75;119;167;251;439;339;325;58;243;66;247;209;139;86;54;72;117;350;670;324;65;70;236;298
80;128212;91;2580;62;65;271;81;199;196;215;190;567;145;229;228;91;55;126;80;129;168;264;477;381;386;59;255;68;259;184;147;87;55;74;127;402;686;326;67;72;250;342
90;144880;92;2580;64;67;280;83;202;199;244;191;561;152;236;234;65;57;135;83;137;168;276;513;445;421;61;266;98;297;185;155;90;57;80;137;419;670;328;69;103;262;324
100;161653;92;2581;66;68;292;86;204;229;218;220;634;160;271;241;66;58;145;86;147;196;270;586;474;428;62;306;72;279;186;192;93;57;83;146;402;722;330;70;75;284;337
200;326578;92;2579;83;93;385;113;261;229;275;208;1089;240;338;335;82;69;235;112;279;168;511;1084;839;763;81;389;93;420;200;248;144;69;108;268;649;946;376;94;95;525;468
300;491987;138;2580;97;112;453;172;261;257;290;224;1451;319;409;403;98;83;325;139;361;168;680;1586;1257;1176;124;530;113;557;214;360;143;83;133;335;824;1152;395;108;112;721;623
400;657776;139;2582;105;173;549;165;289;312;306;239;1886;395;472;470;113;95;416;165;428;168;911;2090;1657;1547;112;643;134;684;256;417;167;94;185;478;1142;1366;414;126;129;896;731
500;824609;92;2581;125;180;644;193;318;313;321;255;2349;506;512;539;129;105;507;192;522;168;1143;2619;2086;1959;155;755;180;759;243;501;193;105;182;524;1295;1609;432;143;146;1156;886
600;991357;92;2582;139;223;766;219;373;341;336;271;2863;585;606;604;144;116;598;218;652;168;1387;3136;2552;2287;171;868;171;843;256;613;217;116;208;646;1606;1892;450;160;163;1426;1021
700;1157621;91;2578;137;221;862;245;401;370;380;314;3220;638;646;644;161;127;688;272;765;195;1565;3621;2930;2693;159;1027;222;981;270;697;243;154;260;740;1794;2082;468;217;180;1579;1181
800;1323806;111;2582;168;242;957;304;401;425;368;302;3809;714;741;711;176;138;806;299;830;195;1872;4282;3341;3106;175;1097;242;1105;284;782;295;138;258;836;2119;2371;487;241;198;1859;1322
900;1490525;92;2579;182;261;1052;326;430;453;384;317;4236;825;808;778;192;149;896;326;894;168;2085;4786;3815;3542;191;1211;262;1229;299;867;292;149;283;930;2384;2624;506;211;215;2099;1463
1000;1658205;92;2579;196;283;1148;325;486;454;400;360;4728;905;876;845;207;160;987;325;1019;168;2345;5340;4215;3908;206;1324;255;1317;313;950;317;160;334;1025;2690;2867;524;229;232;2332;1582
1100;1824305;92;2583;181;275;1214;352;513;482;442;377;5198;984;942;940;223;171;1078;352;1133;168;2551;5902;4699;4369;222;1489;302;1486;327;1034;370;171;333;1120;2928;3114;543;246;250;2567;1673
1200;1989533;92;2582;192;296;1338;379;542;510;459;365;5720;1090;1010;1008;239;182;1168;405;1244;168;2828;6625;5210;4783;238;1572;322;1545;369;1118;395;181;358;1293;3271;3370;560;290;267;2841;1835
1300;2155552;91;2579;203;316;1433;405;570;566;446;381;6228;1143;1077;1075;254;193;1258;434;1256;168;3082;7060;5454;5176;254;1745;316;1679;383;1153;420;193;383;1309;3389;3635;580;281;310;3095;1967
1400;2321024;91;2581;252;336;1554;459;571;593;462;396;6792;1224;1144;1169;269;204;1349;458;1358;168;3349;7714;5982;5523;269;1798;336;1780;370;1287;417;204;435;1429;3742;3941;571;387;301;3389;2075
1500;2488252;91;2580;266;357;1756;486;599;594;505;439;7353;1303;1228;1236;285;214;1556;458;1486;168;3643;8260;6417;5975;285;1950;384;1910;384;1399;470;215;433;1612;3937;4220;617;411;318;3631;2160
1600;2655097;92;2579;235;376;1744;511;655;623;520;427;7715;1379;1305;1276;302;226;1667;485;1580;168;3824;8799;6915;6280;300;2116;404;2016;397;1452;495;226;458;1748;4288;4411;636;462;336;3840;2439
1700;2821703;92;2579;247;397;1840;538;682;651;536;442;8223;1488;1345;1343;317;236;1650;538;1731;168;4080;9318;7268;6916;342;2173;397;2328;412;1537;520;236;511;1713;4572;4703;626;349;353;4119;2491
1800;2988074;91;2579;257;418;1992;538;711;706;524;459;8807;1568;1413;1410;332;248;1737;538;1792;168;4384;10054;7556;7304;358;2342;445;2244;453;1625;517;274;535;1782;4736;4993;644;367;397;4397;2736
1900;3155431;92;2582;322;438;2030;564;711;734;567;501;9803;1649;1506;1519;345;258;1827;592;1975;168;4840;10950;8169;7655;347;2367;439;2473;439;1737;543;258;560;1988;5114;5489;692;411;414;4883;2900
2000;3322239;91;2580;336;458;2125;636;739;736;578;515;9717;1697;1592;1611;364;269;1919;619;2054;166;4824;11120;8591;8267;390;2571;455;2466;452;1821;567;269;585;1997;5256;5475;678;531;405;4838;2792
