size,data_transfer,feature_transfer,param_transfer,lpc
10,8102,85,3172,187
20,16316,85,3201,187
30,24338,85,3193,187
40,32556,85,3190,187
50,40629,85,3178,186
60,48853,85,3201,186
70,57012,85,3156,187
80,65037,85,3209,231
90,73214,85,3163,231
100,81344,85,3185,187
200,162325,85,3185,187
300,243233,112,3189,186
400,324379,85,3222,186
500,406252,85,3190,214
600,487763,85,3162,187
700,569067,113,3226,187
800,651225,112,3188,186
900,732834,85,3193,230
1000,814707,85,3209,187
1100,896326,85,3187,214
1200,977464,85,3190,232
1300,1058412,85,3210,186
1400,1139333,85,3162,186
1500,1221514,85,3192,186
1600,1302821,85,3209,186
1700,1384380,85,3161,186
1800,1465975,85,3190,204
1900,1547765,85,3220,186
2000,1629766,85,3189,187
